apt_id,apt_name,apt_street,apt_city,apt_state,apt_zip,apt_phone,apt_num_rentals,apt_num_reviews,apt_avg_review,apt_latitude,apt_longtitude,apt_description
g41tntx,Arabelle Perimeter,1110 Hammond Dr NE,Atlanta,GA,30328,678-812-6049,49,14,4.4,33.91957,-84.35046,"'Where Luxury and Convenience ConvergeArabelle Perimeter unveils an exceptional portrait of living. A unique fusion of style and sophistication, our apartment residences reflect your contemporary flair. Enjoy the life you deserve. When you live at Arabelle Perimeter, your address says it all.'"
tehkkb9,Sugarloaf Grove,1850 Duluth Hwy,Lawrenceville,GA,30043,206-536-2300,95,1,5.0,33.97481,-84.07558,"'Where Everything Comes To LifeJust picture it: living as you’ve always imagined…exactly where you want to be. Well now you can. Because at Sugarloaf Grove in Duluth, you’ll experience the finest in boutique apartment living. From the stylish one, two, and three-bedroom floor plans to the Insta-worthy amenities, everything on your wish list is covered. Cool on the outside. Warm on the inside. It’s exceptional living. Luxury included.'"
pf4mgzt,Alleia Luxury Apartments,73 Highlands Blvd,Savannah,GA,31407,844-266-0038,27,nan,nan,32.17174,-81.22703,"""Welcome to Alleia Luxury Apartments! Our brand new, premier apartments are located in the Pooler area of Savannah, Georgia. As a resident, you'll enjoy modern interior design in our one, two, and three bedroom apartments and townhomes, along with an extensive selection of unparalleled amenities. All of our floorplans offer high-end features and sleek finishes, such as lofty nine-foot ceilings, a two-tone paint scheme, modern disc and pendant lighting, two-inch faux-wooden blinds, plush carpet, power-saving digital programmable thermostats, home intrusion alarms with optional monitoring, and framed vanity mirrors. The gourmet kitchens feature executive chef undermount sinks, custom routed wood cabinetry with sleek hardware, designer tile backsplashes, stainless steel appliances, and granite countertops. Select homes also include a relaxing patio or balcony, walk-in showers with rain shower heads, large walk-in closets, soaking tubs, upscale wood-finish flooring, and/or retreat views."""
dc3kbnh,SLX Atlanta,5211 Peachtree Blvd,Chamblee,GA,30341,770-637-5769,124,2,5.0,33.89067,-84.30927,"'Welcome to SLX Atlanta, a brand new apartment community offering studio, one, two and three bedroom apartment homes. Our residences come alive with high-end kitchens, stainless steel appliances, designer cabinets, French-style refrigerators, frameless glass shower enclosures, and full closet systems with drawers and shelves. Step outside your luxe home and enjoy our countless number of amenities, including a Hollywood-style draped porte-cochere entry, our heated infinity edge saline plunge pool, tanning islands, a 2,000-square-foot fitness center with virtual trainers, Club Pure for parties and gatherings, The Sky Lounge for rooftop alfresco private dining, a lighted pet park, a crystal meditation garden and much more.'"
347xfmf,SouthLawn Lawrenceville,30 S Clayton St,Lawrenceville,GA,30046,678-812-6067,129,6,4.9,33.9529,-83.98777,"'Located just 30 miles northeast of Atlanta, Lawrenceville’s SouthLawn is a 33-acre mixed-use community with a blend of refined apartments, spacious townhomes, stylish single family homes, and abundant retail. Just steps away from the historic Lawrenceville Square, SouthLawn is surrounded by a multitude of entertainment, shopping and dining options. Even more, an overlooking location on the Lawrenceville Lawn grants easy access to countless concerts, festivals and movie nights throughout the year.'"
ctx07ze,The View at Woodstock,900 View Dr,Woodstock,GA,30189,833-711-6022,41,1,5,34.08233,-84.54743,"'The View at Woodstock Apartments in Woodstock, Georgia is a brand new, luxury apartment community located within minutes of Town Center shops and restaurants.  Featuring an astounding selection of unit floorplans, our mission at The View at Woodstock is to provide comfort, convenience, and overall luxurious experience that will encourage you to renew your lease for years to come.  With an amazing rhythm of energy and style, our apartment community will exceed all of your expectations for maintenance-free apartment living.  Residents will love our resort-style swimming pool, elegant clubhouse, and ""grab-n-go"" breakfast and coffee bar.  If you ever feel like escaping the confines of your apartment home, explore our community and form neighborly bonds that will last a lifetime.  It\'s all waiting for you at The View at Woodstock in the beautiful truly unexpected Town Center are of Woodstock, Georgia.'"
ypq4vxs,Ardmore at Rice Hope,1332 Mulberry Blvd,Port Wentworth,GA,31407,912-228-3253,3,nan,nan,32.22329,-81.18742,"'Welcome to Ardmore at Rice Hope! Our Port Wentworth Apartments for rent have everything you need when looking for a home. Enjoy spacious one, two, and three floor plan homes that are equipped with energy-efficient appliances, wood-style vinyl flooring, designer cabinetry and a community that features a resort-style swimming pool, covered yoga area, elite fitness center and more! Call and schedule a virtual tour of our apartments in Port Wentworth today!  Pooler, Rincon and Garden City are just a short drive away!Text us at (912) 215-6663'"
ymf5lbr,Artesia Big Creek,6405 Rex Ln,Alpharetta,GA,30005,470-695-3774,28,14,4.1,34.10725,-84.22526,"'Welcome to Artesia Big Creek Apartments! Enjoy the upscale and inviting atmosphere of our brand new smoke free community, located in Alpharetta, Georgia. We offer beautiful one, two, and three bedroom apartments infused with style and modern convenience.Impressive character awaits you inside your apartment, where you will enjoy a spacious, open design, perfect for both entertaining and relaxing! Every apartment features lofty nine-foot ceilings, 2"" faux-wooden blinds, ceiling fans with lighting, modern track and pendant lighting, granite countertops in the bathrooms, plush carpet, power-saving digital programmable thermostats, home intrusion alarms with optional monitoring, garage parking, framed vanity mirrors, and a washer/dryer in-home. Our gourmet kitchens offer stainless steel appliances, executive chef undermount sinks, designer tile backsplashes, granite countertops, and sleek modern cabinetry. Select homes also include upscale wood-finish flooring, walk-in showers with rain shower heads, luxurious soaking tubs, large walk-in closets, and/or a relaxing patio or balcony!Artesia Big Creek Apartments offers many amenities to make sure you enjoy your time here with us! Enjoy luxury living by lounging around our relaxing saltwater pool with a sundeck and cabanas. Residents can get energized in our fitness center, which offers high-endurance equipment and free weights, as well as a yoga room with ballet barre and spin room. Our upscale clubhouse also features a gourmet coffee and hot tea bar, social lounge with kitchen, gaming, and TV\'s, cyber cafe, and conference room. For your convenience, take advantage of our on-site dog spa, courtyards with lounging and grilling areas, Luxer One package system, bike repair and storage room, online rent payment and maintenance request services, and elevator access.'"
hty7q63,Heights Old Peachtree,1045 Old Peachtree Rd NW,Suwanee,GA,30024,833-711-2890,25,nan,nan,34.00182,-84.06955,"'The Heights Old Peachtree Apartments in Suwanee, Georgia is a brand new, luxury apartment community located within minutes of Old Town Suwanee and Sugarloaf Market Place.  Featuring an astounding selection of unit floorplans, our mission at The Heights Old Peachtree is to provide comfort, convenience, and overall luxurious experience that will encourage you to renew your lease for years to come. With an amazing rhythm of energy and style, our apartment community will exceed all of your expections for maintenance-free apartment living.  Residents will love our resort-style swimming pool, elegant clubhouse, and ""grab-n-go"" breakfast and coffee bar.  If you ever feel like escaping the confines of your apartment home, explore our community and form neighborly bonds that will last a lifetime.  It\'s all waiting for you at The Heights Old Peachtree in beautifuly truly unexpected Suwanee, Georgia.'"
xh6gjyq,Modera Reynoldstown,780 Memorial Dr SE,Atlanta,GA,30316,844-570-0824,119,nan,nan,33.7472,-84.36178,"'Theres an undeniable vibe you get when you enter Modera Reynoldstown. Its the life of the party, a serene oasis, and a creative expression, all in one. Its also home to 320 of Reynoldstowns most anticipated new studio, one-, two- and three-bedroom homes. Located in an Atlanta neighborhood celebrated for its friendly nature and central location, Modera Reynoldstown is a new, eclectic fusion of style, comfort and fun. Clink your glass at the hidden speakeasy. Be inspired by some art. Take in a comedy flick on the patio. Or kick back and chill at your poolside cabana. Outside, there is always a new, chef-driven restaurant, trendsetting shop or cultural experience to welcome you, thanks to our location steps from the bustling BeltLine and the beautiful Grant Park. And when you want to welcome guests of your own, wowing them will be easy with stunning features like quartz countertops, wood-plank flooring, and oversized windows that maximize the beauty of your urban surroundings.'"
6602b5r,Marketplace Vista Apartments,1486 Terrell Mill Rd SE,Marietta,GA,30067,770-829-0828,155,nan,nan,33.91879,-84.46954,"""Live luxuriously at Marketplace Vista, a community of apartments in Marietta, Georgia. Consider it the best of both worlds: we offer brand-new luxury floor plans in a close-knit community that’s conveniently located on Terrell Mill Road in Marietta, Georgia. Our one and two bedroom luxury apartment homes combine sophisticated style with trendsetting charm and several lifestyle-enhancing amenities, from a resort-style pool and upscale fitness center to a cyber lounge and a dog spa. With so much to experience, it's no wonder why residents love coming home to Marketplace Vista!"""
fnlrrzs,Elevate West Village,4520 Pine St,Smyrna,GA,30080,678-324-9395,115,1,4.0,33.84408,-84.49205,"'Next-level apartment living has arrived in Smyrna’s thriving West Village. Organic and luxury design combine with contemporary features and gracious amenities to establish a new benchmark for higher living. Everything you need for a complete modern lifestyle – at work, at play, and beyond. And outside your door, the entire retail, restaurant and service offering of pedestrian-friendly West Village, just footsteps away. It’s a higher standard of living, elevated further by a true sense of community. We can’t wait to welcome you home.'"
x6q2p0q,Arya Peachtree,1777 Peachtree St,Atlanta,GA,30309,678-534-5893,267,nan,nan,33.80337,-84.39236,"'Welcome to ARYA Peachtree – brand new, elegantly designed, luxury residences nestled at the southernmost tip of Buckhead in the historic neighborhood of Brookwood. Our modern studio, one-, two-, and three-bedroom homes feature quartz countertops, five-panel interior doors, and GE Energy Star stainless steel appliances. The lavish sophistication continues with lofty ceilings and floor-to-ceiling windows dressed with solar shades. ARYA’s exclusive address boasts a superior proximity to the best Buckhead, and Midtown has to offer with convenient access to I-75, I-85, and GA 400.  Peachtree Road provides quick access to the myriad of nearby dining, shopping, and entertainment offerings, including Phipps Plaza and Piedmont Park. In addition to access to major roadways, ARYA offers accessible ride-share pickup locations for an effortless commute.'"
lf299ze,The Skylark,1099 SE Boulevard,Atlanta,GA,30312,470-588-9937,81,7,4.8,33.72524,-84.36968,
4pjtj1h,Modera Midtown,95 8th St NW,Atlanta,GA,30309,844-433-8866,65,24,4.3,33.78,-84.39002,"'Claim the ultimate domain at Modera Midtown, a hooked-up high-rise with fast-paced appeal. Plug in to Midtown  Atlantas most amped up neighborhood  home to Fox Theatre, High Museum of Art, destination restaurants, and incredible nightlife from Opera Nightclub to Whiskey Park and Atlantic Station. Live in the epicenter of happening Tech Square, a vibrant creative hub boasting the regions most dynamic workspaces and an eclectic mix of savvy young professionals.'"
zwcyjly,Novel Perimeter,5755 Glenridge Dr,Atlanta,GA,30328,844-889-4122,33,4,5.0,33.91173,-84.36108,"'Novel Perimeter is Atlanta’s northern gateway — a vibrant commercial center with well-known shopping, office parks and convenient access via MARTA to downtown Atlanta, Buckhead and Midtown. At this ideal boundary, Novel Perimeter offers spa-like serenity balanced between busy lives and luxurious repose. Nearby workplaces are easy to reach and at the end of the day, Novel Perimeter residents can retreat to a welcome enclave. Modern, elegant apartments share amenities from a fountained courtyard, outdoor fireplace, and kitchen, and tranquil saltwater pool to a 2,500-square-foot gym and drop-in workspaces, to name just a few. Those who live here will gather for yoga, spin classes and ping pong, chat at the complimentary coffee bar and cross paths along the pet run, enjoying a valued sense of being right where they belong.'"
bp1p51b,AMLI Westside,1084 Howell Mill Rd NW,Atlanta,GA,30318,470-419-7836,36,2,4.8,33.78514,-84.41343,"'AMLI’s West Midtown apartments are located in the heart of the activity center, just steps from the Westside Provisions District’s upscale retail and dining. AMLI Westside is also within walking distance of “The Silicon Crescent,” Midtown’s Technology Office Boom.AMLI Westside offers luxurious amenities intertwined with curated artwork, including a salt water pool with cabanas and grilling stations; rooftop lounge with bar, games, TVs and scenic views; fitness studio with strength, cross-fit and cardio equipment; clubroom with kitchen, billiards and arcade games; private offices and conference room; library with lounge seating; community work spaces; bike repair shop and storage; and much more.AMLI Westside offers spacious studio, one- and two-bedroom floor plans featuring two designer finish packages, chefs’ kitchens with premium stainless steel appliances, quartz countertops in kitchens and baths, plank flooring, mud rooms with storage bench, washer and dryer in every apartment, 10’ or 18’ foot ceiling heights, Industrial chic lighting and cabinet hardware, and more.Smoke-free inside and out and focused on green living, AMLI Westside offers residents a healthier lifestyle with lower environmental impact.'"
d4t27el,The Baxter Decatur Apartments,1605 Church St,Decatur,GA,30033,678-647-8765,17,44,4.8,33.79438,-84.28206,"'A new level of sophistication for apartment living has arrived. With surroundings to savor and places to share. Modern touches and unrivaled conveniences. World-class amenities. Superior features. Set in the vibrant neighborhood of Decatur and adjacent to North Decatur Station. Anchored by Whole Foods Market, North Decatur Station features a host of shopping and restaurants right at your doorstep. The Baxter Decatur features a collection of thoughtfully designed studio, one, two, and three-bedroom apartment homes. This new apartment community is just minutes from downtown Atlanta. Yet a world apart. It’s The Baxter Decatur – and it’s like nothing you’ve seen before.'"
l4sx76d,The Keswick,5126 Peachtree Blvd,Chamblee,GA,30341,470-499-2406,47,20,4.9,33.88947,-84.3129,"""Those who yearn for luxury living in Chamblee, GA finally have a place to call home. Mirroring the elegance and refinement, The Keswick's setting beautifully captures serenity and grace. Our apartments exhibit exquisite architecture and lavish interior designs. We have masterfully blended modern boutique chic with a sophisticated style to satisfy our residents’ high-class tastes. The Keswick is also proud to deliver first-rate pampering that focuses on health and wellness. Our upscale dwellings are designed to accommodate all your needs. But if you want to spread your social wings, you are within walking distance of various fine dining, retail, entertainment, and recreation options. Welcome to wonderful. Welcome to The Keswick."""
j4gzqe4,Spoke Apartments,1450 La France St NE,Atlanta,GA,30307,404-476-4874,12,13,4.6,33.761,-84.34115,"'Brand new studio, one, and two bedroom apartments in Atlanta’s Edgewood neighborhood. Steps away from the Edgewood-Candler Park MARTA rail station, shopping, dining, and a welcome retreat for true urbanist souls. For those who align with clever over hipster, say hello to a bespoke mode of living where urbanity meets savvy simplicity and the results are urban apartments that intelligently outlast hip.'"
3qh4j7f,YOO on the Park,207 13th St NE,Atlanta,GA,30309,844-749-7094,50,6,4.7,33.78506,-84.38009,"'This 25-story luxury apartment community is a visual extension of Piedmont Park in Midtown. Designed by internationally-acclaimed YOO Design Studio, YOO on the Park sits at the intersection of fashion, function and design. Whimsical experiences emerge at every turn as resort-inspired amenities and services delight. Indulge in ultimate luxury at YOO on the Park with high-end designer finishes, spacious floor plans, stunning views of Piedmont Park and a myriad of cultural, dining and social experiences only moments away. A carefully curated catalog of services and lifestyle experiences, The Art of Living,? is a program developed exclusively for residents that will set a new standard for luxurious living in Atlanta. Brilliantly planned amenities, resort-inspired concierge services and signature programming come together to make every day effortless and rewarding for residents.'"
74scz3y,The Eva Atlanta,789 Hammond Dr,Sandy Springs,GA,30328,844-821-4349,53,40,4.5,33.91774,-84.36012,"'Welcome to The Eva, an elevated community of upscale, high-rise apartments in the desirable city of Sandy Springs. Our one, two, three-bedroom and penthouse homes feature stainless-steel appliances, in-unit washer and dryer, walk-in closets, and a balcony with skyline views of downtown Atlanta and the nearby King and Queen Towers. Our pet-friendly community offers a selection of newly updated amenities including the community pool, fitness center, clubhouse, and leasing lobby. We also provide community-wide Wi-Fi access and an on-site management team. The location of our apartments near Perimeter Mall make it easy to enjoy the neighborhood favorites including City Springs, Chattahoochee Nature Center, Chastain Park Amphitheater and trendy restaurants within minutes of your front door. You’ll also love the lusciously green outdoor spaces that the area has to offer, including several dog parks for your pup to enjoy. The Eva is also situated right off GA-400 giving you immediate access to interstates ideal for commuters as well as those wanting to enjoy Buckhead, Brookhaven or Midtown attractions. We offer in-person tours, live video tours and self-guided tours of the property. Contact us to schedule yours today!'"
1kws8y6,Scott Crossing,2550 Blackmon Dr,Decatur,GA,30033,704-761-6319,74,nan,nan,33.79369,-84.28632,"""Scott Crossing unveils an exceptional portrait of living. A unique fusion of style and sophistication, our apartment residences reflect your contemporary flair. Come home to Decatur's hottest address, perfectly located off Scott Boulevard, outside exciting Atlanta. Step into your studio, one, two or three bedroom home, fully equipped with the luxurious details that go beyond comfort. Nest thermostats, custom kitchen cabinetry, mosaic back-splashes and white Carerra counter-tops greet you. Spa inspired soaking tubs, frame-less showers with rain shower-heads and double vanities mean a true home oasis. Even your furry family members will feel pampered at our pet spa and dog park. Enjoy the life you deserve. When you live at Scott Crossing Apartments, your address says it all."""
85ybms2,Cortland at the Village,2085 Lake Park Dr,Smyrna,GA,30080,866-542-3564,135,300,4.0,33.88879,-84.48845,"'Located within Poplar Creek Nature Preserve and minutes away from popular spots like The Battery Atlanta, our Cortland community offers Metro Atlanta living – just outside the bustle of the city. Upscale comforts like wood-burning fireplaces and sunrooms will make you proud to call any of our studio and one and two-bedroom apartments home. Convenience to shopping, dining, and groceries makes your everyday routine a breeze. And when you’re considering your weekend plans, you have plenty of options nearby. Watch the Atlanta Braves play ball at Truist Park, or treat yourself to some retail therapy at Cumberland Mall. No matter what your day looks like, you’ll come home to the hospitality and service of a community team dedicated to you.'"
nk81ebp,Cantera by Cortland,3311 Flowers Rd S,Chamblee,GA,30341,770-829-0607,51,169,4.0,33.87473,-84.25555,"'Located within walking distance to Mercer University, our Cortland community offers a world of opportunity – just outside the heart of the city. Upscale features like granite countertops and sunrooms will make you proud to call any of our one, two, and three-bedroom apartments home. Convenience to major employers like the CDC and DeKalb Peachtree Airport makes your everyday commute a breeze. And when you’re considering your weekend plans, you have plenty of options nearby. Treat yourself to some retail therapy at Perimeter Mall, or go for a short drive to all the dining and entertainment options of Midtown Atlanta. No matter what your day looks like, you’ll come home to the hospitality and service of a team dedicated to you.'"
x52yhhm,Cortland East Cobb,2085 Roswell Rd,Marietta,GA,30062,844-207-5101,29,106,4.0,33.96612,-84.49372,"'Located in the top-rated Cobb County School District and near major employers like WellStar Kennestone Hospital, our community offers a world of opportunity – close to home. Relaxing lakeside views and designer features like granite countertops will make you proud to call any of our one, two, and three-bedroom apartments home. Take a stroll on our scenic nature trails or kick back and cast a line in our seven-acre fishing lake, making for the perfect stay-at-home day. And when you’re looking to explore the neighborhood, you have plenty of shopping and dining spots nearby. Walk over to East Lake Shopping Center for a quick bite, or explore local hotspots like Marietta Square and The Battery Atlanta. No matter what your day looks like, you’ll come home to the hospitality and service of a team dedicated to you.'"
yhkyhds,Rosemont Berkeley Lake,3475 Pleasant Hill Rd,Duluth,GA,30096,844-616-3429,19,44,4.0,33.98931,-84.16443,"""Nestled just above the Atlanta perimeter, exists a sanctuary, a place where solice and sanctuary meets your everyday lifestyle. From our two cabana style pools to our lush, mature landscaping we're sure we've got something for everyone at Rosemont at Berkeley Lake."""
seeq8d6,Ansley at Town Center,1000 Alder Way,Evans,GA,30809,404-267-6131,29,9,5.0,33.53515,-82.12279,"""Ansley at Town Center sets itself apart by offering spacious garden style and townhome style one, two, and three-bedroom floor plans. Our apartments include luxury amenities such as hardwood style flooring, glass tile backsplashes, and granite countertops. Our top notch community amenities include picnic and BBQ grills, detached garages, and salt water pool. With an address that matches the convenience of being near I-20, Washington Road, and River Watch Parkway, you will find that it's all about the perfect location and easy living at our exceptional apartment community. Contact us today to see how you can call Ansley at Town Center home today! Our community is now open for in-person tours! We still offer the option of a virtual tour or a self-guided tour. Please feel free to contact us with questions on any of these options."""
6l8ljht,Star Metals,1055 Brady Ave NW,Atlanta,GA,30318,833-205-8931,165,nan,nan,33.78297,-84.41204,"'Star Metals is a community designed with your lifestyle in mind. Created to offer residents a balanced environment of live-work-play surrounded by the thriving West Midtown area of Atlanta. Located on Howell Mill Road, you will have easy access to shopping, dining and entertainment. Nearby neighbors include Westside Provisions, the Westside Cultural Arts Center, Georgia Tech, and the Northside Tavern. Our community not only provides a great location, but it will also offer upscale features, social and collaborative spaces, state-of-the-art finishes, along with panoramic views of the Atlanta skyline. The community at Star Metals is sure to offer all that you have been searching for and more!'"
09tx720,Novel O4W,525 NE North Ave,Atlanta,GA,30308,877-370-0227,53,5,5.0,33.77078,-84.36994,"'UNIQUELY ATLANTA. DISCOVER OLD FOURTH WARD. Known for its creative heart and soul, Old Fourth Ward offers countless opportunities for artistic and personal inspiration. With easy access to the Beltline and close proximity to Ponce City Market, here, unique experiences are always right around the corner. NOVEL O4W puts you right in the heart of Old Fourth Ward, so you can become part of the community’s vibrant tapestry. Immersed in the rich history of the neighborhood but with brand-new NOVEL amenities and luxury features right at your fingertips, you can truly enjoy the best of both worlds.'"
cptt20e,Solis Suwanee Town Center,500 Buford Hwy,Suwanee,GA,30024,470-240-2398,49,nan,nan,34.07904,-84.0441,"""A decidedly stylish take on luxury living is coming to Suwanee Town Center. Gorgeous modern architecture. Art deco-inspired interiors. High-style common areas. And an amenity offering at the pinnacle of pampering. A space surrounding you with intelligent, intuitive design and all the features, finishes and modern appliances that make life as effortless as possible. If you're looking for a Town Center address with something extra, we can't wait to welcome you to Solis Suwanee Town Center."""
c8r5q8g,Solis Interlock,1115 Howell Mill Rd NW,Atlanta,GA,30318,470-443-2553,187,nan,nan,33.78534,-84.4105,"""An amazing new residential lifestyle is coming to Atlanta's thriving Westside. One that places you in the heart of a dynamic village with a world at your door - set amidst a uniquely walkable and ever-changing cityscape. Industrial, modern architecture strikes an immediate tone of high energy and vibrant finishes. And stepping inside, it only gets more rewarding. We invite you to unlock your adventure at Solis Interlock."""
07g5143,Seventeen West,391 17th St NW,Atlanta,GA,30363,855-711-8593,53,19,4.2,33.79048,-84.40298,"'Elegance and style await you at Seventeen West, ideally located in the cultural heart of Atlantic Station. Perfectly-appointed one and two bedroom luxury apartment homes offer a generous array of refinements, including light cherry cabinetry, dual vanity bathrooms, and private dining rooms. You can expect unsurpassed amenities that will delight your senses to include lush courtyards with fountains, private fitness studio, and E-lounge. This unique atmosphere is walking distance to a seemingly limitless array of shopping, dining, entertainment and major employers. A splendid lifestyle opportunity designed for the discerning resident.'"
