apt_id,amenity_name,amenity_description
7x1j2ly,Unique Features,"['2 Balconies', '2” Faux Wooden Blinds', '2nd Level', '4th Level', 'Additional Half Bath', 'BBQ/Picnic Area', 'Bike Racks', 'Ceiling Fan W/Light In Living &Bed Rooms', 'Corner Unit', 'Courtyard View', 'Covered Garage Parking', 'Custom Wood Cabinetry W/Sleek Hardware', 'Dual Vanity In Bathrooms*', 'Efficient Appliances', 'Electronic Thermostat', 'Extra Storage Available', 'First Level', 'Floor to Ceiling Windows', 'Golf Simulator Lounge', 'Gourmet Coffee & Hot Tea Bar', 'Hardwood Finish Floors Throughout', 'Large Pet Friendly', ""Loft Style with 14' Ceilings"", 'Lofty Nine Foot Ceilings', 'Luxer One™ Package System', 'Media Room', 'Modern Track & Pendant Lighting', 'Off Street Parking', 'Online Maintenance Requests', 'Online Rent Payment', 'Power Saving Digital Thermostats', 'Separate Shower & Soaking Tub*', 'Shower / Tub Combo', 'Smoke-Free Apartments', 'Soaking Tub*', 'Social Lounge W/Billiards & Shuffleboard', 'Social Lounge W/Gaming & TV', 'Third Level', 'Top Level High Ceilings', 'Two Tone Paint Scheme', 'Under Cabinet Lighting', 'Upscale Wood Finish Flooring*', 'View', 'Walk-In Showers W/Rain Shower Heads*', 'Wheelchair Access', 'Wooded View', '""']"
7x1j2ly,Pet Policy,"['Dogs and Cats Allowed', '2 Pet Limit']"
7x1j2ly,Parking,"['Surface Lot, Covered and Garage']"
7x1j2ly,Property Information,"['Built in 2020', '291 Units/5 Stories']"
7x1j2ly,Lease Length,"['12, 13, 14, 15']"
7x1j2ly,Services,"['Package Service', 'Wi-Fi at Pool and Clubhouse', 'Maintenance on site', 'On-Site Retail', 'Vision Impaired Accessible', 'Online Services', 'Planned Social Activities', 'Pet Play Area', 'Pet Washing Station', 'Key Fob Entry']"
7x1j2ly,Interior,"['Elevator', 'Business Center', 'Clubhouse', 'Lounge', 'Multi Use Room', 'Storage Space', 'Conference Room']"
7x1j2ly,Outdoor Space,"['Gated', 'Roof Terrace', 'Sundeck', 'Courtyard', 'Grill', 'Balcony', 'Patio', 'Deck', 'Yard', 'Grill']"
7x1j2ly,Fitness & Recreation,"['Fitness Center', 'Spa', 'Pool', 'Putting Greens', 'Gameroom', 'Media Center/Movie Theatre']"
7x1j2ly,Features,"['High Speed Internet Access', 'Washer/Dryer - In Unit', 'Air Conditioning', 'Heating', 'Ceiling Fans', 'Smoke Free', 'Cable Ready', 'Storage Units', 'Double Vanities', 'Tub/Shower', 'Framed Mirrors', 'Wheelchair Accessible (Rooms)']"
7x1j2ly,Kitchen,"['Dishwasher', 'Disposal', 'Granite Countertops', 'Stainless Steel Appliances', 'Pantry', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Instant Hot Water']"
7x1j2ly,Living Space,"['Carpet', 'Dining Room', 'Family Room', 'Office', 'Recreation Room', 'Crown Molding', 'Views', 'Walk-In Closets', 'Linen Closet', 'Double Pane Windows', 'Window Coverings', 'Large Bedrooms']"
7x1j2ly,Security,"['Controlled Access', 'Property Manager on Site', 'Security System', 'Security System']"
3zjvf3d,Unique Features,"['24/7 Package Concierge', 'Ceiling Fan', 'Central Heat', 'Club Room', 'Community Park', 'Courtyard Fire Tables', 'Covered Parking, Deck Parking, Surface Parking', 'Coworking Space', 'Electronic Thermostat', 'Makerspace', 'Mezzanine Library', 'Neighborhood Charm', 'Pet Park', 'Yoga Room']"
3zjvf3d,Pet Policy,['Dogs and Cats Allowed']
3zjvf3d,Parking,"['Surface Lot and Covered', 'Other', 'Parking deck']"
3zjvf3d,Property Information,"['Built in 2019', '292 Units/4 Stories']"
3zjvf3d,Lease Length,"['12, 13, 14']"
3zjvf3d,Services,"['Package Service', 'Maintenance on site', 'Online Services', 'Pet Play Area']"
3zjvf3d,Interior,"['Clubhouse', 'Conference Room']"
3zjvf3d,Outdoor Space,"['Gated', 'Grill', 'Balcony', 'Patio', 'Deck']"
3zjvf3d,Fitness & Recreation,"['Fitness Center', 'Pool', 'Bike Storage']"
3zjvf3d,Features,"['Washer/Dryer - In Unit', 'Air Conditioning', 'Ceiling Fans', 'Cable Ready', 'Tub/Shower', 'Sprinkler System']"
3zjvf3d,Kitchen,"['Dishwasher', 'Ice Maker', 'Pantry', 'Island Kitchen', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Freezer']"
3zjvf3d,Living Space,['Walk-In Closets']
3zjvf3d,Security,"['Controlled Access', 'Property Manager on Site']"
vfz0lqd,Unique Features,"['1st Floor', '2” Faux Wooden Blinds', '2nd Floor', '3rd Floor', 'BBQ/Picnic Area', 'Bike Racks', 'Ceiling Fan', 'Cinema Theater', 'Courtyard', 'Cyber Cafe', 'Disposal', 'Efficient Appliances', 'Electronic Thermostat', 'Extra Storage Available', 'Flex Workout Space W/Yoga & Spin', 'Gourmet Coffee & Hot Tea Bar', 'Hardwood Finish Floors Throughout', 'High Ceilings', 'Large Closets', 'Large Pet Friendly', 'Lofty Nine Foot Ceilings', 'Luxer One™ Package System', 'Media Room', 'Modern Track & Pendant Lighting', 'Off Street Parking', 'Online Rent Payment & Maintenance Requests', 'Parking Garage', 'Power Saving Digital Programmable Thermostats', 'Power Saving Digital Thermostat', 'Sleek Modern Cabinetry', 'Smoke-Free Apartments', 'Soaking Tub*', 'Upscale Wood Finish Flooring Throughout', 'View', 'Walk-In Showers W/Rain Shower Heads*', 'Wheelchair Access', 'Wooded View']"
vfz0lqd,Pet Policy,"['Dogs Allowed:', 'Restrictions: Breed Restrictions Apply Comments: No Weight Limit $20 Monthly Pet Rent', '$400 Fee', '2 Pet Limit', 'Cats Allowed', 'Comments: No Weight Limit $20 Monthly Pet Rent', '$400 Fee', '2 Pet Limit']"
vfz0lqd,Parking,"['Surface Lot, Covered, Garage and Other']"
vfz0lqd,Property Information,"['Built in 2020', '262 Units/5 Stories']"
vfz0lqd,Lease Length,"['13, 14, 15']"
vfz0lqd,Services,"['Package Service', 'Wi-Fi at Pool and Clubhouse', 'Maintenance on site', '24 Hour Availability', 'Vision Impaired Accessible', 'Online Services', 'Planned Social Activities', 'Pet Washing Station', 'Car Charging Station', 'Key Fob Entry']"
vfz0lqd,Interior,"['Elevator', 'Business Center', 'Clubhouse', 'Lounge', 'Multi Use Room', 'Storage Space', 'Conference Room', 'Tanning Salon']"
vfz0lqd,Outdoor Space,"['Gated', 'Sundeck', 'Cabana', 'Grill', 'Picnic Area', 'Balcony', 'Patio', 'Deck', 'Lawn', 'Grill']"
vfz0lqd,Fitness & Recreation,"['Fitness Center', 'Spa', 'Pool', 'Gameroom', 'Media Center/Movie Theatre']"
vfz0lqd,Features,"['High Speed Internet Access', 'Washer/Dryer - In Unit', 'Air Conditioning', 'Heating', 'Ceiling Fans', 'Smoke Free', 'Cable Ready', 'Storage Units', 'Tub/Shower', 'Framed Mirrors', 'Wheelchair Accessible (Rooms)']"
vfz0lqd,Kitchen,"['Dishwasher', 'Granite Countertops', 'Stainless Steel Appliances', 'Pantry', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Freezer', 'Instant Hot Water']"
vfz0lqd,Living Space,"['Carpet', 'Vinyl Flooring', 'Dining Room', 'Family Room', 'Office', 'Recreation Room', 'Views', 'Walk-In Closets', 'Linen Closet', 'Window Coverings', 'Large Bedrooms']"
vfz0lqd,Security,"['Controlled Access', 'Property Manager on Site', 'Security System', 'Security System']"
fffnhjs,Unique Features,"['24/7 Package Concierge', '24-hour athletic club and yoga studio', 'Bike room and repair station', 'Central Heat', 'Direct USB wall connections', 'Efficient Appliances', 'Electronic Thermostat', 'Gas Range', 'Green Building', 'Guest Suite', 'High Ceilings', 'High-rise lookout terrace', 'Large Closets', 'NGBS Green Certified Construction', 'On-site brewed gourmet coffee', 'Penthouse Units', 'Skyline views', 'Smart home technology', 'Smoke-free community', 'View']"
fffnhjs,Pet Policy,"['Dogs Allowed', '$20 Monthly Pet Rent', '$350 Fee', '100 lb Weight Limit', '2 Pet Limit', 'Cats Allowed', '$20 Monthly Pet Rent', '$350 Fee', '2 Pet Limit']"
fffnhjs,Parking,['Other']
fffnhjs,Property Information,"['Built in 2020', '277 Units/12 Stories']"
fffnhjs,Lease Length,"['13, 14']"
fffnhjs,Services,"['Package Service', 'Wi-Fi at Pool and Clubhouse', 'Maintenance on site', 'On-Site Retail', 'Trash Pickup - Door to Door', 'Dry Cleaning Service', 'Online Services', 'Guest Apartment', 'Pet Washing Station', 'Key Fob Entry']"
fffnhjs,Interior,"['Elevator', 'Business Center', 'Clubhouse', 'Lounge', 'Multi Use Room', 'Breakfast/Coffee Concierge', 'Conference Room']"
fffnhjs,Outdoor Space,"['Gated', 'Roof Terrace', 'Sundeck', 'Cabana', 'Grill', 'Picnic Area', 'Balcony', 'Patio']"
fffnhjs,Fitness & Recreation,"['Fitness Center', 'Sauna', 'Spa', 'Pool', 'Bike Storage']"
fffnhjs,Features,"['High Speed Internet Access', 'Wi-Fi', 'Washer/Dryer - In Unit', 'Air Conditioning', 'Heating', 'Ceiling Fans', 'Smoke Free', 'Cable Ready', 'Storage Units', 'Double Vanities', 'Tub/Shower', 'Sprinkler System', 'Framed Mirrors']"
fffnhjs,Kitchen,"['Dishwasher', 'Ice Maker', 'Granite Countertops', 'Stainless Steel Appliances', 'Pantry', 'Island Kitchen', 'Eat-in Kitchen', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Freezer']"
fffnhjs,Living Space,"['Hardwood Floors', 'Carpet', 'Tile Floors', 'Vinyl Flooring', 'Views', 'Walk-In Closets', 'Linen Closet', 'Double Pane Windows', 'Window Coverings']"
fffnhjs,Security,"['Controlled Access', 'Property Manager on Site']"
9teved6,Unique Features,"['48 inch Solid Wood Shaker Panel Custom Cabinetry', 'Built-in Linen Cabinets', 'European Wet Baths*', 'Golf Simulator', 'Pet Park', 'Resident Co-Working Spaces', 'Resident Event Center', 'Smoke-Free Building', 'Sonos Wireless Speakers in every apartment', 'Walk up/Street Access*']"
9teved6,Pet Policy,"['Dogs and Cats Allowed:', 'Restrictions: \\tBreed Restrictions Apply. No aggressive breeds allowed.  Agressive breeds include, but are not limited to: Doberman, Pit Bull, American Staffordshire Terrier, American Eskimo, Rottweiler, Chow-Chow, Dalmatian and German Shepard.  Any mix of these breeds is prohibited. Comments: $600 One-Time Fee for 2 Pets $25 Monthly Pet Rent', '$400 Fee', '60 lb Weight Limit', '2 Pet Limit']"
9teved6,Parking,"['Garage: $50', '1 space; Assigned Parking.', 'Other']"
9teved6,Property Information,"['Built in 2019', '355 Units/5 Stories']"
9teved6,Lease Length,"['11, 12, 13, 14, 15']"
9teved6,Services,"['Package Service', 'Dry Cleaning Service', 'Car Charging Station']"
9teved6,Interior,['Elevator']
9teved6,Fitness & Recreation,"['Fitness Center', 'Pool', 'Gameroom']"
9teved6,Features,"['Washer/Dryer - In Unit', 'Double Vanities']"
9teved6,Kitchen,"['Granite Countertops', 'Kitchen']"
9teved6,Living Space,"['Mud Room', 'Built-In Bookshelves']"
9teved6,Outdoor Space,['Patio']
9teved6,Security,['Concierge']
cd80n3f,Unique Features,"['Access Controlled Parking Garage', 'Backsplash', 'Bike Rack', 'Built Ins', 'Built-In Coat Cabinet', 'Close to Public Transportation', 'Coffee Bar', 'Convenient Location', 'Courtyard', 'Digital Thermostat', 'Dog Park', 'Dog Wash Station', 'Energy Efficient Appliances', 'Furnished', 'Furnished Apartments', 'Glass Shower', 'Handicap Accessible', 'Handicapped Accessible', 'Heat', 'Large Closets', 'Nest Thermostats', 'No Breed Restrictions', 'Outdoor Firepit', 'Private Bathrooms', 'Raised Ceiling', 'Rooftop Terrace', 'Smart Home Technology', 'Tub Shower Combo']"
cd80n3f,Pet Policy,"['Dogs and Cats Allowed:', 'Restrictions: Pet Types Allowed: Dogs, Cats, Fish, Caged Birds. Comments: Pet Fees and Deposits Vary by Property. Please contact the appropriate leasing office with any questions. Assistance animals are always welcome without deposit or fee. 2 Pet Limit']"
cd80n3f,Parking,"['Surface Lot, Covered and Other', 'Garage', 'Assigned Parking.']"
cd80n3f,Property Information,"['Built in 2018', '438 Units/6 Stories']"
cd80n3f,Lease Length,['None']
cd80n3f,Services,"['Package Service', 'Maintenance on site', 'Trash Pickup - Curbside']"
cd80n3f,Interior,"['Elevator', 'Business Center', 'Clubhouse']"
cd80n3f,Outdoor Space,"['Gated', 'Sundeck', 'Grill', 'Balcony']"
cd80n3f,Fitness & Recreation,"['Fitness Center', 'Pool', 'Gameroom']"
cd80n3f,Features,"['High Speed Internet Access', 'Wi-Fi', 'Washer/Dryer - In Unit', 'Air Conditioning', 'Smoke Free', 'Cable Ready', 'Storage Units', 'Double Vanities']"
cd80n3f,Kitchen,"['Dishwasher', 'Stainless Steel Appliances', 'Kitchen', 'Microwave', 'Refrigerator']"
cd80n3f,Living Space,['Walk-In Closets']
cd80n3f,Security,"['Property Manager on Site', 'Security System']"
sr9hlv4,Unique Features,"['BBQ/Picnic Area', 'Ceiling Fan', 'Courtesy Patrol', 'Disposal', 'Efficient Appliances', 'Extra Storage', 'Furnished', 'Large Closets', 'Media Room', 'Newly Renovated', 'Valet Trash Service', 'View']"
sr9hlv4,Pet Policy,"['Dogs and Cats Allowed', 'Comments: 2 Pets per Apartment Home. $400 Non-Refundable Pet Fee (First Pet). $200 Non-Refundable Pet Fee (Second Pet). Breed Restrictions Do Apply. No Weight Limit. 2 Pet Limit']"
sr9hlv4,Parking,"['Surface Lot', '1 space.', 'Garage']"
sr9hlv4,Property Information,"['Built in 1987', '1000 Units/2 Stories', 'Furnished']"
sr9hlv4,Lease Length,"['6, 9, 12']"
sr9hlv4,Services,"['Package Service', 'Laundry Facilities', 'Maintenance on site', '24 Hour Availability', 'Furnished Units Available', 'Planned Social Activities', 'Car Wash Area']"
sr9hlv4,Interior,"['Business Center', 'Clubhouse', 'Corporate Suites', 'Tanning Salon']"
sr9hlv4,Outdoor Space,"['Gated', 'Cabana', 'Grill', 'Waterfront', 'Pond', 'Zen Garden', 'Balcony']"
sr9hlv4,Fitness & Recreation,"['Fitness Center', 'Sauna', 'Spa', 'Pool', 'Playground', 'Racquetball Court', 'Tennis Court', 'Volleyball Court', 'Putting Greens', 'Media Center/Movie Theatre']"
sr9hlv4,Features,"['High Speed Internet Access', 'Washer/Dryer Hookup', 'Air Conditioning', 'Heating', 'Ceiling Fans', 'Cable Ready', 'Storage Units', 'Fireplace', 'Wheelchair Accessible (Rooms)']"
sr9hlv4,Kitchen,"['Dishwasher', 'Disposal', 'Granite Countertops', 'Eat-in Kitchen', 'Microwave', 'Refrigerator', 'Breakfast Nook']"
sr9hlv4,Living Space,"['Hardwood Floors', 'Carpet', 'Vinyl Flooring', 'Dining Room', 'Den', 'Sunroom', 'Walk-In Closets', 'Loft Layout', 'Window Coverings']"
sr9hlv4,Security,"['Controlled Access', 'Property Manager on Site']"
0g6gh01,Unique Features,"['10 ft Ceiling*', 'ADA Accessible', 'Close to Shopping and Dining', ""Cyber Cafe' w/ coffee lounge"", 'Dog Park', 'Garden tubs with tile surround', 'Generous Closet Space', 'Hardwood Style Flooring', 'Open Interiors', 'Opening Fall 2015', 'Separate shower*', 'Storage', 'Top Floor', 'USB Outlets', 'Valet trash', 'Walk in level', 'Walking Trails', '""']"
0g6gh01,Pet Policy,"['Dogs and Cats Allowed:', 'Restrictions: No aggressive breeds Comments: One-Time Fee for First Pet: $500, $250 For Second Pet $20 Monthly Pet Rent', '80 lb Weight Limit', '2 Pet Limit']"
0g6gh01,Parking,"['Surface Lot', '1 space.', 'Garage']"
0g6gh01,Property Information,"['Built in 2016', '236 Units/3 Stories']"
0g6gh01,Lease Length,"['3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16']"
0g6gh01,Services,"['Wi-Fi at Pool and Clubhouse', 'Trash Pickup - Door to Door', 'Online Services', 'Planned Social Activities', 'Pet Play Area', 'Car Charging Station']"
0g6gh01,Interior,"['Clubhouse', 'Lounge', 'Storage Space']"
0g6gh01,Outdoor Space,"['Gated', 'Grill', 'Balcony', 'Patio']"
0g6gh01,Fitness & Recreation,"['Fitness Center', 'Pool']"
0g6gh01,Features,"['High Speed Internet Access', 'Washer/Dryer - In Unit', 'Washer/Dryer Hookup', 'Air Conditioning', 'Heating', 'Cable Ready', 'Tub/Shower']"
0g6gh01,Kitchen,"['Granite Countertops', 'Stainless Steel Appliances', 'Pantry', 'Island Kitchen', 'Kitchen', 'Microwave', 'Range']"
0g6gh01,Living Space,"['Views', 'Walk-In Closets', 'Linen Closet']"
0g6gh01,Security,['Security System']
t1qzpt8,Unique Features,"['Atlanta Skyline Views*', 'Breakfast Bar', 'Ceiling Fan', 'Central AC and Heat', 'City View', 'Courtesy Patrol', 'Courtyard', 'Custom-Crafted Honey Maple Cabinetry', 'Easy Access To I-75, I-85, and I-20', 'Energy-Efficient Appliances', 'Garbage Disposal', 'Garden Tub with Ceramic Tile Surround', 'Handicap Accessible', 'On the Atlanta Beltline - Westside Extension', 'Online Rental Payments', 'Recycling', 'Stainless Appliances', 'Stainless-Steel Sink']"
t1qzpt8,Pet Policy,"['Dogs and Cats Allowed:', 'Restrictions: Pit Bull, Rottweiler, Chow, Doberman Pinscher, Akita, German Shepherd, Dalmatian Comments: One-time non-refundable fee of $400 for the 1st pet and $400 for 2nd pet. $400 Fee', '65 lb Weight Limit', '2 Pet Limit']"
t1qzpt8,Parking,"['Covered', 'Garage', '1 space.']"
t1qzpt8,Property Information,"['Built in 2004', '267 Units/4 Stories']"
t1qzpt8,Lease Length,['None']
t1qzpt8,Services,"['Package Service', 'Laundry Facilities', 'Maintenance on site', 'Public Transportation']"
t1qzpt8,Interior,"['Elevator', 'Storage Space']"
t1qzpt8,Outdoor Space,"['Gated', 'Courtyard', 'Grill', 'Balcony']"
t1qzpt8,Fitness & Recreation,"['Fitness Center', 'Pool']"
t1qzpt8,Features,"['High Speed Internet Access', 'Wi-Fi', 'Washer/Dryer - In Unit', 'Air Conditioning', 'Heating', 'Ceiling Fans', 'Cable Ready', 'Storage Units', 'Tub/Shower']"
t1qzpt8,Kitchen,"['Dishwasher', 'Disposal', 'Ice Maker', 'Pantry', 'Kitchen', 'Microwave', 'Range', 'Refrigerator']"
t1qzpt8,Living Space,"['Hardwood Floors', 'Carpet', 'Vinyl Flooring', 'Dining Room', 'Walk-In Closets', 'Linen Closet', 'Window Coverings']"
t1qzpt8,Security,"['Controlled Access', 'Property Manager on Site']"
g41tntx,Unique Features,"['Ample bedrooms that accommodate king-size beds', 'Energy-efficient full-size washers and dryers', 'Granite slab and quartz countertops', 'Media Room', 'Screening']"
g41tntx,Pet Policy,"['Dogs and Cats Allowed', 'Comments: Breed restrictions apply, fee per pet $25 Monthly Pet Rent', '$250 Fee', '250 lb Weight Limit', '2 Pet Limit', 'Other Pets Allowed', '250 lb Weight Limit', '1 Pet Limit']"
g41tntx,Parking,['Other']
g41tntx,Property Information,"['Built in 2017', '384 Units/7 Stories']"
g41tntx,Lease Length,['None']
g41tntx,Services,"['Package Service', 'Maintenance on site']"
g41tntx,Interior,['Clubhouse']
g41tntx,Fitness & Recreation,"['Fitness Center', 'Spa', 'Pool']"
g41tntx,Features,['High Speed Internet Access']
g41tntx,Living Space,"['Dining Room', 'Walk-In Closets']"
g41tntx,Outdoor Space,['Grill']
g41tntx,Security,['Property Manager on Site']
tehkkb9,Unique Features,"['24/7 Package Locker System', 'Designer Cabinetry', 'Mudroom with Bench*', 'Outdoor Yoga Studio', 'Pooch Parlor and Bark Park', 'Resilient Wood-Style Flooring', 'Walk-In Shower with Modern Tile Surround*']"
tehkkb9,Pet Policy,['Dogs and Cats Allowed']
tehkkb9,Parking,['Other']
tehkkb9,Property Information,"['Built in 2020', '194 Units/3 Stories']"
tehkkb9,Lease Length,['13']
tehkkb9,Outdoor Space,"['Sundeck', 'Grill']"
tehkkb9,Kitchen,"['Granite Countertops', 'Kitchen']"
tehkkb9,Living Space,['Walk-In Closets']
pf4mgzt,Unique Features,"['1st Floor', '2nd Floor', '3rd Floor', '4th Floor', 'ADA Accessible', 'BBQ/Picnic Area', 'Car Care Center', 'Close to Amenities', 'Corner Apartment', 'Courtyard', 'Courtyard View', 'Custom Routed Wood Cabinetry w/Sleek Hardware', 'Cyber Lounge', 'Disposal', 'Dog Park', 'Dog Wash', 'Drive-Thru Mail Location', 'Efficient Appliances', 'Electronic Thermostat', 'Extra Storage Available', 'Gourmet Coffee & Hot Tea Bar', 'Hardwood Finish Flooring', 'Hardwood Finish Floors Throughout', 'Large Closets', 'Large Pet Friendly', 'Media Room', 'Modern Disc & Pendant Lighting', 'Off Street Parking', 'Smoke-Free Apartments', 'Soaking Tub*', 'Social Lounge w/Gaming & TV', 'Top Floor High Ceilings', 'Two Tone Paint Scheme', 'View', 'Walk-in Showers w/Rain Shower Heads*', 'Water View', 'Wheelchair Access', 'Wooded View', 'Yoga/Cross-Training Area']"
pf4mgzt,Pet Policy,"['Dogs Allowed:', 'Restrictions: Breed Restrictions Apply Comments: No Weight Limit $20 Monthly Pet Rent', '$400 Fee', '2 Pet Limit', 'Cats Allowed', '$20 Monthly Pet Rent', '$400 Fee', '2 Pet Limit']"
pf4mgzt,Parking,"['Surface Lot', 'Free Parking']"
pf4mgzt,Property Information,"['Built in 2020', '328 Units/3 Stories']"
pf4mgzt,Lease Length,"['12, 13, 14']"
pf4mgzt,Services,"['Package Service', 'Wi-Fi at Pool and Clubhouse', 'Maintenance on site', '24 Hour Availability', 'Hearing Impaired Accessible', 'Vision Impaired Accessible', 'Online Services', 'Planned Social Activities', 'Pet Play Area', 'Pet Washing Station', 'Car Wash Area', 'Key Fob Entry']"
pf4mgzt,Interior,"['Elevator', 'Business Center', 'Clubhouse', 'Lounge', 'Multi Use Room']"
pf4mgzt,Outdoor Space,"['Gated', 'Sundeck', 'Cabana', 'Courtyard', 'Grill', 'Picnic Area', 'Balcony', 'Patio', 'Deck']"
pf4mgzt,Fitness & Recreation,"['Fitness Center', 'Pool', 'Gameroom']"
pf4mgzt,Features,"['High Speed Internet Access', 'Washer/Dryer - In Unit', 'Air Conditioning', 'Heating', 'Ceiling Fans', 'Smoke Free', 'Cable Ready', 'Tub/Shower', 'Framed Mirrors', 'Wheelchair Accessible (Rooms)']"
pf4mgzt,Kitchen,"['Dishwasher', 'Disposal', 'Granite Countertops', 'Stainless Steel Appliances', 'Pantry', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Freezer', 'Instant Hot Water']"
pf4mgzt,Living Space,"['Carpet', 'Vinyl Flooring', 'Family Room', 'Recreation Room', 'Views', 'Walk-In Closets', 'Linen Closet', 'Window Coverings', 'Large Bedrooms']"
pf4mgzt,Security,"['Controlled Access', 'Property Manager on Site', 'Security System']"
dc3kbnh,Unique Features,"[""12\\' x 8\\' Sliding Glass Doors"", '9\\\'4"" To 20\\\' Ceilings', 'Closet Systems w/ Drawers and Shelves', 'Club Pure???', 'Designer Cabinets with Distint Style Options', 'Farmer Sink', 'Festoon Lounge???', 'Frameless Glass Shower Enclosures', 'Gas Cook Top Ranges', 'Individual Climate Control', 'Quartz Countertops and Backsplash', 'Rain Showers', 'S L X Arrival', 'The Crystal Garden???', 'The Market Place???', 'The Sky Lounge???']"
dc3kbnh,Pet Policy,"['Dogs and Cats Allowed:', 'Restrictions: Weight and Breed Comments: One-Time Fee: $500 for 1 $250 additional for 2 $25 Monthly Pet Rent', '$500 Fee', '75 lb Weight Limit', '2 Pet Limit']"
dc3kbnh,Parking,['Garage and Other']
dc3kbnh,Property Information,"['Built in 2020', '306 Units/6 Stories']"
dc3kbnh,Lease Length,"['3 months, 4 months, 5 months, 6 months, 7 months, 8 months, 9 months, 10 months, 11 months, 12 months, 13 months, 14 months, 15 months']"
dc3kbnh,Interior,"['Business Center', 'Clubhouse', 'Lounge', 'Storage Space']"
dc3kbnh,Fitness & Recreation,['Fitness Center']
dc3kbnh,Features,['Washer/Dryer - In Unit']
dc3kbnh,Kitchen,"['Dishwasher', 'Stainless Steel Appliances', 'Microwave', 'Refrigerator']"
dc3kbnh,Outdoor Space,"['Balcony', 'Patio']"
dc3kbnh,Security,['Concierge']
347xfmf,Unique Features,"['9 Ft Ceilings', 'Bike Maintenance and Storage Rooms', 'Bike Racks', 'Blocks away from Historic Lawrenceville Square', 'Designer Light Fixtures', 'Designer Tile Backsplash', 'Efficient Appliances', 'Electronic Thermostat', 'Enclosed & Conditioned Corridors', 'Expansive Dog Park', 'High Ceilings', 'Matte Black Hardware & Fixtures', 'Multiple Green Spaces and Pocket Parks', 'Programmable Thermostat', 'Quartz Countertops', 'Shaker Style Cabinets', 'Steps Away From The Historic Town Square', 'Subway Tile Backsplash', 'Two Additional Clubrooms Located at Populus', 'Vinyl Plank Flooring', 'Wheelchair Access']"
347xfmf,Pet Policy,"['Dogs Allowed', 'Comments: Breed 2 Pet Limit', 'Cats Allowed', '2 Pet Limit']"
347xfmf,Parking,['Garage']
347xfmf,Property Information,"['Built in 2019', '430 Units/4 Stories']"
347xfmf,Lease Length,"['12, 13, 14']"
347xfmf,Services,['24 Hour Availability']
347xfmf,Interior,"['Business Center', 'Clubhouse']"
347xfmf,Fitness & Recreation,"['Fitness Center', 'Spa', 'Pool']"
347xfmf,Features,"['Washer/Dryer - In Unit', 'Smoke Free']"
347xfmf,Kitchen,"['Dishwasher', 'Granite Countertops', 'Stainless Steel Appliances']"
347xfmf,Living Space,['Hardwood Floors']
347xfmf,Outdoor Space,['Lawn']
ctx07ze,Unique Features,"['Ceiling Fan', 'Efficient Appliances']"
ctx07ze,Pet Policy,"['Dogs Allowed', 'Comments: Cats and Dogs are welcome!! Up to 50 pounds. 75 lb Weight Limit', '2 Pet Limit', 'Cats Allowed', 'Comments: Cats and Dogs are welcome!! Up to 50 pounds. 2 Pet Limit']"
ctx07ze,Parking,['Other']
ctx07ze,Property Information,"['Built in 2020', '320 Units/4 Stories']"
